snapped_at,price,market_cap,total_volume
2024-07-05 00:00:00 UTC,9.873270602860393e-06,0.0,2228611.1376087135
2024-07-06 00:00:00 UTC,9.873270602860393e-06,0.0,2228611.1376087135
2024-07-07 00:00:00 UTC,1.1980499610999985e-05,0.0,3780196.8451959225
2024-07-08 00:00:00 UTC,1.4167104383903973e-05,0.0,2943180.9044694835
2024-07-09 00:00:00 UTC,1.0331444533111123e-05,0.0,1539153.621663678
2024-07-10 00:00:00 UTC,7.590385367886066e-06,0.0,1299984.706621432
2024-07-11 00:00:00 UTC,8.579882676408993e-06,0.0,1181589.1513626052
2024-07-12 00:00:00 UTC,5.957869578845968e-06,0.0,725251.7725678277
2024-07-13 00:00:00 UTC,4.208223332524501e-06,0.0,600540.1537503788
2024-07-14 00:00:00 UTC,9.552093771008338e-07,0.0,739103.5989522933
2024-07-15 00:00:00 UTC,1.4573386668694815e-06,0.0,434520.66530099505
2024-07-16 00:00:00 UTC,3.5066461119727543e-06,0.0,586688.9742522925
2024-07-17 00:00:00 UTC,6.61751681504369e-06,0.0,785321.191907438
2024-07-18 00:00:00 UTC,4.4855306427758115e-06,0.0,2798.9833680664065
2024-07-19 00:00:00 UTC,5.965236605931861e-06,0.0,401412.1740735194
2024-07-20 00:00:00 UTC,5.3387394248555e-06,0.0,395699.19762482774
2024-07-21 00:00:00 UTC,5.0784004176384524e-06,0.0,243247.94592360576
2024-07-22 00:00:00 UTC,5.741975215813618e-06,0.0,473727.8287612985
2024-07-23 00:00:00 UTC,9.44494912057769e-06,0.0,922521.0510281378
2024-07-24 00:00:00 UTC,1.205351300887153e-05,0.0,881691.7347166444
2024-07-25 00:00:00 UTC,1.2633017715138339e-05,0.0,1413041.8979453512
2024-07-26 00:00:00 UTC,1.548431978396208e-05,0.0,1308578.9824816792
2024-07-27 00:00:00 UTC,2.920340239458945e-05,29203336.392502353,2702401.249954597
2024-07-28 00:00:00 UTC,2.9677958013655897e-05,29772878.245275524,3874141.8499530503
