snapped_at,price,market_cap,total_volume
2023-07-21 00:00:00 UTC,2.0379371427739945e-08,0.0,12214364.023849264
2023-07-22 00:00:00 UTC,2.0379371427739945e-08,0.0,12214364.023849264
2023-07-23 00:00:00 UTC,9.089794443854909e-09,0.0,8475517.342845924
2023-07-24 00:00:00 UTC,1.1968732266033016e-08,0.0,4306357.04036409
2023-07-25 00:00:00 UTC,6.672838267312437e-09,0.0,2994250.9651029515
2023-07-26 00:00:00 UTC,1.1332693625452112e-08,0.0,3210638.2531461953
2023-07-27 00:00:00 UTC,2.1035427760253843e-08,0.0,5152874.812947952
2023-07-28 00:00:00 UTC,2.4198052441183704e-08,0.0,7345592.204184608
2023-07-29 00:00:00 UTC,2.2439844138078104e-08,0.0,3535982.976877991
2023-07-30 00:00:00 UTC,2.8188921818505827e-08,0.0,3455863.8128236923
2023-07-31 00:00:00 UTC,2.4691642411185403e-08,0.0,2695687.0213867216
2023-08-01 00:00:00 UTC,2.8198167141882187e-08,11044782.594136573,2380028.1006055153
2023-08-02 00:00:00 UTC,2.718352792807607e-08,10689286.585502714,2796524.0612043543
2023-08-03 00:00:00 UTC,3.244900117168203e-08,13282061.641938847,2829631.7991968384
2023-08-04 00:00:00 UTC,3.817086896399363e-08,14904675.253584906,4233894.90600926
2023-08-05 00:00:00 UTC,3.449995293444269e-08,13462815.122765128,1968180.7498084481
2023-08-06 00:00:00 UTC,2.6184470899348722e-08,10161674.333132712,2074605.4049276041
2023-08-07 00:00:00 UTC,3.365499930314333e-08,13145401.54079861,3097400.606927809
2023-08-08 00:00:00 UTC,2.6912086283562732e-08,10391814.147429965,1626647.9937328335
2023-08-09 00:00:00 UTC,2.5488958619198628e-08,9902281.60736717,1763683.7265803446
2023-08-10 00:00:00 UTC,2.983736934943306e-08,11725937.642626448,2542066.205575546
2023-08-11 00:00:00 UTC,2.9979598461608106e-08,11642668.966407133,1879928.136889632
2023-08-12 00:00:00 UTC,3.5266857409037185e-08,13794909.037311789,2352641.1942596044
2023-08-13 00:00:00 UTC,3.3682575851223674e-08,13157842.339952346,1395837.1695316373
2023-08-14 00:00:00 UTC,4.328934771774235e-08,17028040.062745992,2299454.8619896206
2023-08-15 00:00:00 UTC,4.271234982134752e-08,16613546.762737557,2198467.947731632
2023-08-16 00:00:00 UTC,5.58156854899478e-08,21912887.474644765,3848691.476216428
2023-08-17 00:00:00 UTC,8.028623233071809e-08,31511391.35494632,7410777.6835232545
2023-08-18 00:00:00 UTC,7.38499181123264e-08,29022580.14104216,4757368.003084477
2023-08-19 00:00:00 UTC,9.76123296445973e-08,38113198.49855757,6264902.889993442
2023-08-20 00:00:00 UTC,8.274158535626043e-08,32255724.72430357,2706981.7046671826
2023-08-21 00:00:00 UTC,8.356868963978913e-08,32647519.05823707,2432768.995297885
2023-08-22 00:00:00 UTC,6.924820544177141e-08,26956921.953472048,4054379.5405013473
2023-08-23 00:00:00 UTC,6.262338164104493e-08,24281039.029898196,2667773.442975043
2023-08-24 00:00:00 UTC,6.733779160940729e-08,26335947.20622664,2846875.022297597
2023-08-25 00:00:00 UTC,5.304697053873025e-08,20655009.693933606,2253129.0452790447
2023-08-26 00:00:00 UTC,5.793599581287921e-08,22590536.802747127,3305276.637852275
2023-08-27 00:00:00 UTC,6.484805651310824e-08,25106107.388498496,1961918.0469538453
2023-08-28 00:00:00 UTC,5.654218468241206e-08,21935905.100226756,914486.3018420235
2023-08-29 00:00:00 UTC,4.367781118466155e-08,17135954.016140778,3017537.8942134394
2023-08-30 00:00:00 UTC,4.48065479984368e-08,17484498.509758987,1556457.3529185127
2023-08-31 00:00:00 UTC,4.712139781117811e-08,18294544.21455283,1679498.1138872919
2023-09-01 00:00:00 UTC,4.13482397905247e-08,16150961.465463407,1066156.0047974887
2023-09-02 00:00:00 UTC,3.6794913845755524e-08,14354884.937510572,1250189.7419717312
2023-09-03 00:00:00 UTC,3.377830126656522e-08,13216664.643767035,966621.6099236311
2023-09-04 00:00:00 UTC,3.648927767398619e-08,14295194.502263157,984226.2490560923
2023-09-05 00:00:00 UTC,3.483508268418259e-08,13675561.578349737,895369.3902215861
2023-09-06 00:00:00 UTC,3.414240825875214e-08,12770186.301066425,786298.2484855929
2023-09-07 00:00:00 UTC,2.9484574812258376e-08,11455200.812943323,1066798.7802228262
2023-09-08 00:00:00 UTC,3.625641601634562e-08,14114727.003536263,1978726.043328003
2023-09-09 00:00:00 UTC,2.9503332756306388e-08,11527340.803007068,1049260.4709042937
2023-09-10 00:00:00 UTC,2.6379304323735855e-08,10291071.785656888,573099.2584671616
2023-09-11 00:00:00 UTC,2.4971374493836146e-08,9728118.681686385,683694.0785482996
2023-09-12 00:00:00 UTC,2.3217141541482164e-08,9042165.195355754,573670.4985453703
2023-09-13 00:00:00 UTC,2.2372007455339917e-08,8746579.359122708,796896.1966632075
